Name;Type;Scope;Tier
Pm-AD-GPO-Link-Domain;DSPermission;DomainLocal;T0
Pm-AD-GPO-Link-OrgRoot;DSPermission;DomainLocal;T0
Pm-AD-GPO-Link-OperationsRoot;DSPermission;DomainLocal;T0
Pm-AD-T0-GPO-Link;DSPermission;DomainLocal;T0
Pm-AD-T1-GPO-Link;DSPermission;DomainLocal;T0
Pm-AD-EA-GPO-Link;DSPermission;DomainLocal;T0
Pm-AD-Entra Sync-DirSyncRead;DSPermission;DomainLocal;T0
Pm-AD-Entra Sync-DirSyncReadAll;DSPermission;DomainLocal;T0
Pm-AD-Entra Sync-WriteConsistencyGuid;DSPermission;DomainLocal;T0
Pm-AD-Entra Sync-PwWriteback;DSPermission;DomainLocal;T0
Pm-AD-Entra Sync-ExchangeWriteback;DSPermission;DomainLocal;T0
Pm-AD-Entra Sync-DeviceWriteback;DSPermission;DomainLocal;T0
Pm-AD-Entra Sync-GroupWriteback;DSPermission;DomainLocal;T0
Pm-AD-Entra Sync-SeamlessSso;DSPermission;DomainLocal;T0
Pm-T0-AD-User-ServiceAccount-FullControl;DSPermission;DomainLocal;T0
Pm-T0-AD-User-ServiceAccount-ReadAllProperties;DSPermission;DomainLocal;T0
Pm-T0-AD-User-ServiceAccount-Create;DSPermission;DomainLocal;T0
Pm-T0-AD-User-ServiceAccount-Delete;DSPermission;DomainLocal;T0
Pm-T0-AD-User-ServiceAccount-PwReset;DSPermission;DomainLocal;T0
Pm-T0-AD-User-ServiceAccount-Manage;DSPermission;DomainLocal;T0
Pm-T0-AD-User-Admin-FullControl;DSPermission;DomainLocal;T0
Pm-T0-AD-User-Admin-ReadAllProperties;DSPermission;DomainLocal;T0
Pm-T0-AD-User-Admin-Create;DSPermission;DomainLocal;T0
Pm-T0-AD-User-Admin-Delete;DSPermission;DomainLocal;T0
Pm-T0-AD-User-Admin-PwReset;DSPermission;DomainLocal;T0
Pm-T0-AD-User-Admin-Manage;DSPermission;DomainLocal;T0
Pm-T0-AD-User-User-FullControl;DSPermission;DomainLocal;T0
Pm-T0-AD-User-User-ReadAllProperties;DSPermission;DomainLocal;T0
Pm-T0-AD-User-User-Create;DSPermission;DomainLocal;T0
Pm-T0-AD-User-User-Delete;DSPermission;DomainLocal;T0
Pm-T0-AD-User-User-PwReset;DSPermission;DomainLocal;T0
Pm-T0-AD-User-User-Manage;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-Role-FullControl;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-Role-Manage;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-Role-Create;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-Role-Delete;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-Permission-FullControl;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-Permission-Manage;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-Permission-Create;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-Permission-Delete;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-Claim-FullControl;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-Claim-Manage;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-Claim-Create;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-Claim-Delete;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-AMA-FullControl;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-AMA-Manage;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-AMA-Create;DSPermission;DomainLocal;T0
Pm-T0-AD-Group-AMA-Delete;DSPermission;DomainLocal;T0
Pm-T0-PAW-InteractiveLogon;DSPermission;DomainLocal;T0
Pm-T0-PAW-RdpLogon;DSPermission;DomainLocal;T0
Pm-T0-PAW-LocalAdmin;DSPermission;DomainLocal;T0
Pm-T0-AD-PAW-LapsReadPwd;DSPermission;DomainLocal;T0
Pm-T0-AD-PAW-LapsResetPwd;DSPermission;DomainLocal;T0
Pm-T0-AD-PAW-LapsDecryptPwd;DSPermission;DomainLocal;T0
Pm-T1-AD-User-ServiceAccount-FullControl;DSPermission;DomainLocal;T0
Pm-T1-AD-User-ServiceAccount-ReadAllProperties;DSPermission;DomainLocal;T0
Pm-T1-AD-User-ServiceAccount-Create;DSPermission;DomainLocal;T0
Pm-T1-AD-User-ServiceAccount-Delete;DSPermission;DomainLocal;T0
Pm-T1-AD-User-ServiceAccount-PwReset;DSPermission;DomainLocal;T0
Pm-T1-AD-User-ServiceAccount-Manage;DSPermission;DomainLocal;T0
Pm-T1-AD-User-Admin-FullControl;DSPermission;DomainLocal;T0
Pm-T1-AD-User-Admin-ReadAllProperties;DSPermission;DomainLocal;T0
Pm-T1-AD-User-Admin-Create;DSPermission;DomainLocal;T0
Pm-T1-AD-User-Admin-Delete;DSPermission;DomainLocal;T0
Pm-T1-AD-User-Admin-PwReset;DSPermission;DomainLocal;T0
Pm-T1-AD-User-Admin-Manage;DSPermission;DomainLocal;T0
Pm-T1-AD-User-User-FullControl;DSPermission;DomainLocal;T0
Pm-T1-AD-User-User-ReadAllProperties;DSPermission;DomainLocal;T0
Pm-T1-AD-User-User-Create;DSPermission;DomainLocal;T0
Pm-T1-AD-User-User-Delete;DSPermission;DomainLocal;T0
Pm-T1-AD-User-User-PwReset;DSPermission;DomainLocal;T0
Pm-T1-AD-User-User-Manage;DSPermission;DomainLocal;T0
Pm-T1-AD-Group-Role-FullControl;DSPermission;DomainLocal;T0
Pm-T1-AD-Group-Role-Manage;DSPermission;DomainLocal;T0
Pm-T1-AD-Group-Role-Create;DSPermission;DomainLocal;T0
Pm-T1-AD-Group-Role-Delete;DSPermission;DomainLocal;T0
Pm-T1-AD-Group-Permission-FullControl;DSPermission;DomainLocal;T0
Pm-T1-AD-Group-Permission-Manage;DSPermission;DomainLocal;T0
Pm-T1-AD-Group-Permission-Create;DSPermission;DomainLocal;T0
Pm-T1-AD-Group-Permission-Delete;DSPermission;DomainLocal;T0
Pm-T1-PAW-InteractiveLogon;DSPermission;DomainLocal;T1
Pm-T1-PAW-RdpLogon;DSPermission;DomainLocal;T1
Pm-T1-PAW-LocalAdmin;DSPermission;DomainLocal;T1
Pm-T1-AD-PAW-LapsReadPwd;DSPermission;DomainLocal;T0
Pm-T1-AD-PAW-LapsResetPwd;DSPermission;DomainLocal;T0
Pm-T1-AD-PAW-LapsDecryptPwd;DSPermission;DomainLocal;T0

Claim-SmartCardLogon;Claim;Universal;T0
Claim-T0-Admin;Claim;Universal;T0
Claim-T0-User;Claim;Universal;T0
Claim-T0-ServiceAccount;Claim;Universal;T0
Claim-T1-Admin;Claim;Universal;T1
Claim-T1-User;Claim;Universal;T1
Claim-T1-ServiceAccount;Claim;Universal;T1
Claim-EA-Admin;Claim;Universal;EA
Claim-EA-User;Claim;Universal;EA
Claim-EA-Employee;Claim;Universal;EA
Claim-EA-External;Claim;Universal;EA
Claim-EA-Robot;Claim;Universal;EA
Claim-EA-Shared;Claim;Universal;EA

Ama-T0-Admin;AMA;Universal;T0
Ama-T0-User;AMA;Universal;T0
Ama-T1-Admin;AMA;Universal;T1
Ama-T1-User;AMA;Universal;T1
Ama-EA-Employee;AMA;Universal;EA
Ama-EA-External;AMA;Universal;EA
Ama-EA-Robot;AMA;Universal;EA
Ama-EA-Shared;AMA;Universal;EA
